상품명,가격,상품설명
[압구정주꾸미] 주꾸미 볶음 2종 (택1),"5,965원~",마늘의 감칠맛이 듬뿍
[KF365] 양념 소불고기 1kg (냉장),"18,691원","행사 100g당 : 1,869원"
[KF365] DOLE 실속 바나나 2종,"3,870원~",매일 즐기는 달콤한 포만감
[Kurly's] 동물복지 유정란 20구,"8,361원~",전문가와 함께 꼼꼼하게 고른
[사미헌] 갈비탕,"13,000원",진짜 갈비로 우려낸 전통 갈비탕
[스윗밸런스] 오늘의 샐러드 10종 (리뉴얼) (택1),"5,040원~",다채로운 토핑을 얹은 샐러드
산청 설향 딸기 500g,"12,900원",탄탄한 과육 속 선명한 과즙
[KF365] 1+등급 무항생제 대란 20구,"6,471원~",부담없이 누리는 신선한 달걀
[Kim's Butcher] 돌돌말이 대패 삼겹살 1kg(냉동),"10,990원","100g 당 1,099원"
[KF365] 대추방울토마토 750g,"10,900원",믿고 먹을 수 있는 상품을 합리적인 가격에
[우주] 프리미엄 손질 생새우살 200g (냉동)(26/30사이즈),"6,400원",두루 사용하기 좋은 간편 새우
[하루한킷] 송탄식 부대찌개,"12,325원",깊고 진한 맛의 정통 부대찌개
[KF365] 1+ 한우 국거리 300g(냉장),"10,900원","100g당 가격 : 3,967원"
[이연복의 목란] 짬뽕 2인분 (맵기선택),"13,110원",입맛에 맞게 고르는 인기 메뉴
[제주 삼다수] 그린 무라벨 (2L X 6개),"6,480원",매일 마시기 좋은 생수
[연세우유 x 마켓컬리] 전용목장우유 1.8L,"4,980원",두고두고 즐기는 온 가족 우유 (100ml당 276원)
[KF365] 훈제오리 150g*2pk,"8,400원",두 팩으로 나눠 담아 간편한 훈제오리
[자연실록] 닭가슴살 큐브 스테이크 4종,"9,500원",간편하게 구워 먹는 촉촉한 닭가슴살
[KF365] 에어프라이어용 미니 돈까스 500g,"6,900원","먹기 좋은 크기로, 에어프라이어로 간단하게!"
[바른식] 강릉식 짬뽕순두부 찌개,"7,565원",칼칼한 국물 속 풍성한 해물
[올마레] 춘천 국물 닭갈비 떡볶이,"10,560원",닭갈비와 떡볶이의 오묘한 조화
[KF365] 한돈 삼겹살 구이용 600g~ (냉장),"14,940원~","100g 당 판매가 : 2,490원(600g) / 2,390원 (1kg)"
"[Kurly's] 간편하게 바삭, 유린기","7,820원",집에서 만끽하는 근사한 중식 한상 (소스포함)
[햇반/쿡반] 노릇노릇 주먹밥 500g 8종 (택1),"7,980원",간편하고 든든한 한 끼
[해운대암소갈비집] 한우 소불고기 전골,"13,515원",부산의 대표 맛집 메뉴
[홍루이젠] 대만 샌드위치 3개입 3종 (택1),"6,800원~","호밀빵으로 더한 고소함 (1개당 판매가 2,633원~)"
[KS365] 3겹 천연펄프 화장지 (27m X 30롤),"11,700원",10m당 160원 / 부담 없이 사용하는 탄탄한 화장지
[자연실록] 무항생제 닭 다리살 (정육) 500g,"9,180원",설명 없음
[스윗볼] 스테비아 토마토 3종,"9,900원~",후숙없이 먹는 달달한 토마토
[브룩클린688] 호주산 목초육 치마살 구이용 300g (냉장),"11,925원",설명 없음
[남향푸드또띠아] 간편 브리또 15종 2개입 (택1),"5,280원~",가볍고 든든한 멕시칸 푸드
유레카 블루베리 100g 2종 (택1) (국산),"12,990원~",큼지막한 사이즈를 자랑하는
완숙토마토 1kg,"12,900원",싱싱하게 만나는 붉은 영양
[전주 베테랑] 칼국수,"5,015원",베테랑의 대표메뉴를 집에서
고랭지 부사 사과 1.3kg (4~5입),"21,900원",달콤하게 만나는 부사
제주 흙당근 1kg,"5,990원",제주도에서 자란 영양 가득 채소
